"date","gas_cons","log_gas_cons"
"1973-01-15",843900,13.6457892831461
"1973-02-15",747331,13.5242634717289
"1973-03-15",648504,13.3824234507998
"1973-04-15",465867,13.0516554646459
"1973-05-15",326313,12.6956123224252
"1973-06-15",207172,12.2413046451008
"1973-07-15",150349,11.9207145372472
"1973-08-15",142498,11.8670832435046
"1973-09-15",159378,11.9790340182471
"1973-10-15",205013,12.2308286707441
"1973-11-15",392459,12.8801873521497
"1973-12-15",590602,13.288897634673
"1974-01-15",816943,13.6133246039664
"1974-02-15",688478,13.4422386431182
"1974-03-15",597641,13.3007455182117
"1974-04-15",482013,13.0857263636234
"1974-05-15",315920,12.6632442959605
"1974-06-15",215382,12.280168474753
"1974-07-15",166289,12.0214825174732
"1974-08-15",142086,11.8641877870641
"1974-09-15",154824,11.9500442668802
"1974-10-15",235176,12.3680894489838
"1974-11-15",358546,12.7898122432033
"1974-12-15",612830,13.3258428518238
"1975-01-15",750713,13.5287787005818
"1975-02-15",732408,13.5040930147157
"1975-03-15",677687,13.4264408084111
"1975-04-15",596831,13.2993892702224
"1975-05-15",337326,12.7288051007947
"1975-06-15",203708,12.2244428748851
"1975-07-15",167293,12.0275020450954
"1975-08-15",143604,11.8748147903615
"1975-09-15",153980,11.944578002832
"1975-10-15",223383,12.3166430660342
"1975-11-15",329397,12.7050189892161
"1975-12-15",607794,13.3175912877478
"1976-01-15",843235,13.6450009644467
"1976-02-15",739592,13.513853961779
"1976-03-15",578491,13.2681782680186
"1976-04-15",442648,13.0005301507866
"1976-05-15",315760,12.6627377103367
"1976-06-15",220871,12.3053340996674
"1976-07-15",170257,12.0450643391724
"1976-08-15",140774,11.8549110465636
"1976-09-15",152346,11.9339095287361
"1976-10-15",241902,12.3962879644432
"1976-11-15",471326,13.0633052779508
"1976-12-15",734158,13.5064795432874
"1977-01-15",936793,13.7502176189918
"1977-02-15",823439,13.6212447517821
"1977-03-15",560779,13.2370821674964
"1977-04-15",401258,12.9023598909223
"1977-05-15",251756,12.4362156434646
"1977-06-15",182212,12.1129261233297
"1977-07-15",146064,11.8918001608049
"1977-08-15",131330,11.7854685185792
"1977-09-15",140661,11.8541080191784
"1977-10-15",223663,12.3178957337087
"1977-11-15",371888,12.8263480126542
"1977-12-15",651640,13.3872475411801
"1978-01-15",816411,13.6126731836144
"1978-02-15",837768,13.6384964914923
"1978-03-15",680825,13.4310605770712
"1978-04-15",445702,13.0074058462479
"1978-05-15",307604,12.6365685204302
"1978-06-15",184388,12.1247975120652
"1978-07-15",146989,11.898113033029
"1978-08-15",130270,11.7773644986916
"1978-09-15",135489,11.8166457351947
"1978-10-15",209515,12.2525506148266
"1978-11-15",376411,12.8384369104959
"1978-12-15",631636,13.3560685578394
"1979-01-15",867301,13.6731413696755
"1979-02-15",892145,13.7013839544052
"1979-03-15",659720,13.3995707815621
"1979-04-15",463492,13.0465444038607
"1979-05-15",287548,12.5691450818056
"1979-06-15",189143,12.1502586217105
"1979-07-15",147607,11.9023086154982
"1979-08-15",133244,11.7999373128717
"1979-09-15",137611,11.8321861431467
"1979-10-15",215151,12.279095386176
"1979-11-15",378577,12.8441747657799
"1979-12-15",593825,13.2943399421433
"1980-01-15",722000,13.489780417875
"1980-02-15",774000,13.5593271525719
"1980-03-15",673000,13.4195006086269
"1980-04-15",451000,13.0192226184848
"1980-05-15",279000,12.5389670608035
"1980-06-15",191000,12.1600287070288
"1980-07-15",145000,11.8844890214027
"1980-08-15",129000,11.7675676833438
"1980-09-15",135000,11.8130300574206
"1980-10-15",214000,12.273731294004
"1980-11-15",392000,12.8790171187726
"1980-12-15",646000,13.3785547827647
"1981-01-15",831000,13.6303850738376
"1981-02-15",740000,13.5144054651804
"1981-03-15",585000,13.279367126214
"1981-04-15",372000,12.8266491332553
"1981-05-15",260000,12.4684369099977
"1981-06-15",168000,12.0317192583854
"1981-07-15",136000,11.8204101647182
"1981-08-15",123000,11.7199396343546
"1981-09-15",133000,11.7981044072039
"1981-10-15",232000,12.3544926506484
"1981-11-15",364000,12.8049091466189
"1981-12-15",601000,13.3063502135173
"1982-01-15",866000,13.6716401875446
"1982-02-15",786000,13.5747120714113
"1982-03-15",602000,13.308012724291
"1982-04-15",451000,13.0192226184848
"1982-05-15",233000,12.3587937325478
"1982-06-15",165000,12.0137007528827
"1982-07-15",138000,11.8350089641393
"1982-08-15",123000,11.7199396343546
"1982-09-15",136000,11.8204101647182
"1982-10-15",204000,12.2258752728264
"1982-11-15",372000,12.8266491332553
"1982-12-15",557000,13.2303205189094
"1983-01-15",849621,13.6525456466785
"1983-02-15",671628,13.4174598947995
"1983-03-15",580985,13.2724802179448
"1983-04-15",444247,13.0041359930397
"1983-05-15",276395,12.529586280987
"1983-06-15",164337,12.009674476481
"1983-07-15",124457,11.7317155537029
"1983-08-15",114458,11.6479632224573
"1983-09-15",122538,11.7161764649452
"1983-10-15",175875,12.0775287944167
"1983-11-15",310895,12.6472105135759
"1983-12-15",545164,13.20884194581
"1984-01-15",886307,13.6948186706982
"1984-02-15",699925,13.4587284654282
"1984-03-15",605372,13.3135984240872
"1984-04-15",462950,13.0453743358762
"1984-05-15",286928,12.5669865921882
"1984-06-15",169942,12.0432124813479
"1984-07-15",128314,11.7622356639024
"1984-08-15",118045,11.6788211866823
"1984-09-15",126625,11.748985241551
"1984-10-15",182438,12.1141656682573
"1984-11-15",322693,12.6844566858308
"1984-12-15",565927,13.2462203736023
"1985-01-15",743223,13.518751413258
"1985-02-15",837245,13.6378720187067
"1985-03-15",566386,13.247031103542
"1985-04-15",396625,12.8907465288855
"1985-05-15",212164,12.2651148394972
"1985-06-15",156549,11.9611243389986
"1985-07-15",129851,11.7741429182549
"1985-08-15",118932,11.6863071801947
"1985-09-15",129314,11.7699988342273
"1985-10-15",189799,12.1537208964402
"1985-11-15",306427,12.6327348330707
"1985-12-15",646863,13.3798898045392
"1986-01-15",790569,13.5805082183499
"1986-02-15",684541,13.4365038196524
"1986-03-15",579901,13.2706126782983
"1986-04-15",363277,12.8029209076448
