"date","heatwave","extreme_weather","snow_storm"
2004-01-15,3,3,8
2004-02-15,2,1,5
2004-03-15,4,1,3
2004-04-15,3,1,2
2004-05-15,4,2,2
2004-06-15,3,2,1
2004-07-15,5,1,1
2004-08-15,3,2,1
2004-09-15,3,2,2
2004-10-15,3,2,2
2004-11-15,3,2,3
2004-12-15,3,3,7
2005-01-15,2,3,16
2005-02-15,3,2,6
2005-03-15,3,2,4
2005-04-15,3,2,2
2005-05-15,4,2,2
2005-06-15,4,1,1
2005-07-15,5,2,1
2005-08-15,4,1,1
2005-09-15,3,3,1
2005-10-15,3,3,3
2005-11-15,3,2,4
2005-12-15,3,3,7
2006-01-15,2,1,4
2006-02-15,3,1,9
2006-03-15,3,1,4
2006-04-15,3,1,2
2006-05-15,4,2,2
2006-06-15,4,1,1
2006-07-15,7,1,1
2006-08-15,4,1,1
2006-09-15,3,2,1
2006-10-15,2,2,7
2006-11-15,2,2,4
2006-12-15,3,2,11
2007-01-15,3,2,8
2007-02-15,2,2,18
2007-03-15,3,1,5
2007-04-15,2,2,3
2007-05-15,3,1,1
2007-06-15,4,1,1
2007-07-15,4,1,1
2007-08-15,3,2,1
2007-09-15,3,2,1
2007-10-15,2,2,2
2007-11-15,2,2,3
2007-12-15,2,3,10
2008-01-15,2,2,8
2008-02-15,2,2,8
2008-03-15,2,2,5
2008-04-15,3,2,2
2008-05-15,3,2,5
2008-06-15,4,2,2
2008-07-15,4,1,1
2008-08-15,3,1,1
2008-09-15,2,2,2
2008-10-15,2,2,3
2008-11-15,3,2,5
2008-12-15,2,3,15
2009-01-15,3,3,9
2009-02-15,3,2,7
2009-03-15,3,2,8
2009-04-15,3,2,3
2009-05-15,4,2,1
2009-06-15,4,2,1
2009-07-15,4,1,1
2009-08-15,4,1,1
2009-09-15,3,1,2
2009-10-15,4,2,4
2009-11-15,3,2,3
2009-12-15,2,3,26
2010-01-15,3,3,13
2010-02-15,3,3,58
2010-03-15,3,2,6
2010-04-15,3,2,3
2010-05-15,4,2,2
2010-06-15,3,1,2
2010-07-15,6,2,1
2010-08-15,4,2,1
2010-09-15,5,2,2
2010-10-15,3,2,2
2010-11-15,2,2,6
2010-12-15,2,3,32
2011-01-15,2,3,46
2011-02-15,3,3,34
2011-03-15,3,2,6
2011-04-15,4,2,3
2011-05-15,4,2,2
2011-06-15,5,2,2
2011-07-15,8,2,2
2011-08-15,4,2,2
2011-09-15,3,2,2
2011-10-15,3,3,12
2011-11-15,2,3,10
2011-12-15,2,3,9
2012-01-15,3,2,17
2012-02-15,3,2,12
2012-03-15,3,2,5
2012-04-15,3,2,3
2012-05-15,4,2,2
2012-06-15,5,2,2
2012-07-15,7,2,2
2012-08-15,3,2,2
2012-09-15,3,2,2
2012-10-15,2,3,9
2012-11-15,2,3,14
2012-12-15,2,3,18
2013-01-15,3,3,10
2013-02-15,2,3,58
2013-03-15,2,2,20
2013-04-15,3,2,4
2013-05-15,3,2,4
2013-06-15,4,2,2
2013-07-15,7,2,1
2013-08-15,3,2,2
2013-09-15,3,2,2
2013-10-15,2,3,8
2013-11-15,2,3,9
2013-12-15,2,4,22
2014-01-15,3,8,56
2014-02-15,3,4,69
2014-03-15,3,3,19
2014-04-15,3,3,4
2014-05-15,4,2,2
2014-06-15,3,2,2
2014-07-15,4,2,2
2014-08-15,3,2,2
2014-09-15,3,3,3
2014-10-15,3,2,4
2014-11-15,3,4,52
2014-12-15,3,3,9
2015-01-15,3,4,50
2015-02-15,3,4,36
2015-03-15,3,3,12
2015-04-15,3,2,3
2015-05-15,4,2,3
2015-06-15,5,2,2
2015-07-15,7,2,2
2015-08-15,5,2,2
2015-09-15,3,2,2
2015-10-15,3,3,3
2015-11-15,3,3,8
2015-12-15,3,3,11
2016-01-15,3,4,100
2016-02-15,3,3,24
2016-03-15,3,3,9
2016-04-15,4,3,4
2016-05-15,3,3,2
2016-06-15,5,2,2
2016-07-15,6,2,2
2016-08-15,4,2,2
2016-09-15,4,2,2
2016-10-15,3,3,4
2016-11-15,3,3,8
2016-12-15,3,4,18
2017-01-15,3,4,22
2017-02-15,3,3,33
2017-03-15,3,3,7
