"date","av_temp_val","av_temp_ano","min_temp_val","min_temp_ano","max_temp_val","max_temp_ano","prec_temp_val","prec_temp_ano","cool_temp_val","cool_temp_ano","heat_temp_val","heat_temp_ano"
"1895-01-01",26.69,-3.43,16.52,-3.23,36.86,-3.63,3.32,1.01,6,-2,1017,92
"1895-02-01",26.6,-7.22,15.57,-7.25,37.65,-7.17,1.41,-0.72,1,-6,974,209
"1895-03-01",39.97,-1.53,27.86,-2.13,52.07,-0.94,1.99,-0.52,13,-3,692,65
"1895-04-01",52.9,1.85,39.45,0.84,66.33,2.85,1.99,-0.53,27,-3,345,-14
"1895-05-01",59.94,-0.26,47.05,-0.39,72.81,-0.15,2.88,-0.03,88,-10,155,-12
"1895-06-01",67.8,-0.69,54.72,-0.9,80.89,-0.45,2.95,0.02,225,17,34,-9
"1895-07-01",71.24,-2.37,58.55,-1.99,83.91,-2.77,3,0.22,256,-59,19,10
"1895-08-01",71.62,-0.48,58.32,-0.74,84.9,-0.24,2.53,-0.09,282,-1,17,0
"1895-09-01",65.57,0.71,52.38,0.48,78.73,0.92,1.58,-0.91,190,34,59,-15
"1895-10-01",50.85,-3.26,37.15,-4.26,64.54,-2.26,1.08,-1.08,31,-19,388,111
"1895-11-01",39.16,-2.53,28.24,-2.44,50.09,-2.62,2.29,0.06,9,-4,599,37
"1895-12-01",31.71,-0.97,21.33,-1.27,42.08,-0.68,2.53,0.18,3,-3,843,0
"1896-01-01",31.48,1.36,21.52,1.77,41.41,0.92,2.4,0.09,4,-4,916,-9
"1896-02-01",35.04,1.22,23.52,0.7,46.56,1.74,2.05,-0.08,4,-3,749,-16
"1896-03-01",38.03,-3.47,26.62,-3.37,49.42,-3.59,2.41,-0.1,10,-6,736,109
"1896-04-01",52.34,1.29,40.32,1.71,64.38,0.9,2.59,0.07,44,14,307,-52
"1896-05-01",62.46,2.26,50.14,2.7,74.77,1.81,2.96,0.05,161,63,116,-51
"1896-06-01",69.89,1.4,56.52,0.9,83.26,1.92,2.64,-0.29,220,12,37,-6
"1896-07-01",73.69,0.08,61.34,0.8,86,-0.68,3.22,0.44,319,4,7,-2
"1896-08-01",72.27,0.17,59.13,0.07,85.39,0.25,2,-0.62,299,16,15,-2
"1896-09-01",62.94,-1.92,50.59,-1.31,75.27,-2.54,2.78,0.29,136,-20,103,29
"1896-10-01",51.91,-2.2,39.69,-1.72,64.11,-2.69,2.15,-0.01,38,-12,346,69
"1896-11-01",38.32,-3.37,28.17,-2.51,48.47,-4.24,3.07,0.84,19,6,557,-5
"1896-12-01",35.55,2.87,25.32,2.72,45.79,3.03,1.5,-0.85,4,-2,819,-24
"1897-01-01",28.17,-1.95,18.66,-1.09,37.65,-2.84,2.39,0.08,3,-5,987,62
"1897-02-01",33.39,-0.43,23.49,0.67,43.29,-1.53,2.79,0.66,9,2,749,-16
"1897-03-01",38.79,-2.71,28.27,-1.72,49.32,-3.69,3.62,1.11,28,12,646,19
"1897-04-01",51.15,0.1,38.88,0.27,63.43,-0.05,2.42,-0.1,29,-1,356,-3
"1897-05-01",61.18,0.98,47.71,0.27,74.61,1.65,2.12,-0.79,82,-16,171,4
"1897-06-01",68.11,-0.38,55.31,-0.31,80.91,-0.43,2.88,-0.05,205,-3,55,12
"1897-07-01",73.36,-0.25,60.3,-0.24,86.41,-0.27,2.93,0.15,333,18,10,1
"1897-08-01",71.35,-0.75,58.19,-0.87,84.49,-0.65,2.3,-0.32,262,-21,22,5
"1897-09-01",66.4,1.54,52.77,0.87,80.02,2.21,1.57,-0.92,161,5,63,-11
"1897-10-01",55.11,1,42.51,1.1,67.68,0.88,1.83,-0.33,56,6,253,-24
"1897-11-01",40.91,-0.78,29.48,-1.2,52.32,-0.39,2.29,0.06,13,0,579,17
"1897-12-01",30.76,-1.92,20.88,-1.72,40.62,-2.14,2.56,0.21,5,-1,874,31
"1898-01-01",30.67,0.55,20.57,0.82,40.77,0.28,2.43,0.12,9,1,886,-39
"1898-02-01",35.37,1.55,23.97,1.15,46.76,1.94,1.65,-0.48,5,-2,746,-19
"1898-03-01",41.05,-0.45,29.75,-0.24,52.36,-0.65,2.42,-0.09,20,4,569,-58
"1898-04-01",50.79,-0.26,38.05,-0.56,63.54,0.06,2.02,-0.5,23,-7,396,37
"1898-05-01",59.94,-0.26,47.82,0.38,72.05,-0.91,3.23,0.32,106,8,173,6
"1898-06-01",69.31,0.82,56.66,1.04,81.97,0.63,3.07,0.14,235,27,33,-10
"1898-07-01",73.29,-0.32,60.31,-0.23,86.25,-0.43,2.88,0.1,321,6,9,0
"1898-08-01",72.75,0.65,59.99,0.93,85.5,0.36,3.06,0.44,298,15,11,-6
"1898-09-01",65.46,0.6,52.23,0.33,78.69,0.88,2.33,-0.16,176,20,55,-19
"1898-10-01",51.49,-2.62,39.54,-1.87,63.41,-3.39,2.5,0.34,38,-12,300,23
"1898-11-01",38.39,-3.3,27.28,-3.4,49.48,-3.23,2.26,0.03,10,-3,642,80
"1898-12-01",28.67,-4.01,18.41,-4.19,38.93,-3.83,1.72,-0.63,3,-3,929,86
"1899-01-01",29.68,-0.44,19.49,-0.26,39.88,-0.61,2.61,0.3,7,-1,937,12
"1899-02-01",25.5,-8.32,14.65,-8.17,36.36,-8.46,2.28,0.15,5,-2,945,180
"1899-03-01",37.63,-3.87,26.38,-3.61,48.87,-4.14,2.82,0.31,17,1,703,76
"1899-04-01",50.61,-0.44,38.23,-0.38,62.98,-0.5,1.78,-0.74,22,-8,351,-8
"1899-05-01",59.9,-0.3,47.57,0.13,72.23,-0.73,2.74,-0.17,125,27,169,2
"1899-06-01",68.65,0.16,55.74,0.12,81.54,0.2,2.97,0.04,235,27,37,-6
"1899-07-01",73.08,-0.53,59.88,-0.66,86.25,-0.43,2.95,0.17,302,-13,10,1
"1899-08-01",71.74,-0.36,58.69,-0.37,84.76,-0.38,2.26,-0.36,296,13,21,4
"1899-09-01",64.8,-0.06,50.61,-1.29,78.96,1.15,1.54,-0.95,141,-15,85,11
"1899-10-01",53.98,-0.13,42.04,0.63,65.91,-0.89,2.41,0.25,54,4,257,-20
"1899-11-01",44.92,3.23,33.94,3.26,55.9,3.19,1.99,-0.24,11,-2,516,-46
"1899-12-01",31.62,-1.06,21.72,-0.88,41.52,-1.24,2.36,0.01,4,-2,858,15
"1900-01-01",34.11,3.99,23.94,4.19,44.26,3.77,1.74,-0.57,5,-3,858,-67
"1900-02-01",30.76,-3.06,19.36,-3.46,42.15,-2.67,2.52,0.39,5,-2,835,70
"1900-03-01",41.27,-0.23,29.53,-0.46,53.01,0,2.28,-0.23,13,-3,695,68
"1900-04-01",51.6,0.55,39.87,1.26,63.36,-0.12,3.41,0.89,26,-4,357,-2
"1900-05-01",61.74,1.54,48.58,1.14,74.89,1.93,2.45,-0.46,102,4,147,-20
"1900-06-01",70.3,1.81,57.06,1.44,83.53,2.19,3.03,0.1,220,12,31,-12
"1900-07-01",73.13,-0.48,60.12,-0.42,86.16,-0.52,3.07,0.29,317,2,10,1
"1900-08-01",72.86,0.76,59.88,0.82,85.84,0.7,2.42,-0.2,331,48,14,-3
"1900-09-01",65.14,0.28,53.26,1.36,77,-0.81,2.93,0.44,188,32,63,-11
"1900-10-01",56.35,2.24,44.8,3.39,67.91,1.11,2.75,0.59,73,23,198,-79
"1900-11-01",41.54,-0.15,30.81,0.13,52.27,-0.44,2.37,0.14,12,-1,541,-21
"1900-12-01",34.48,1.8,24.3,1.7,44.67,1.91,1.66,-0.69,4,-2,823,-20
"1901-01-01",31.62,1.5,21.09,1.34,42.17,1.68,1.99,-0.32,6,-2,900,-25
"1901-02-01",29.86,-3.96,19.49,-3.33,40.24,-4.58,2.13,0,3,-4,895,130
"1901-03-01",40.71,-0.79,28.98,-1.01,52.45,-0.56,2.29,-0.22,10,-6,650,23
"1901-04-01",49.39,-1.66,37.09,-1.52,61.66,-1.82,2.53,0.01,14,-16,419,60
"1901-05-01",61.18,0.98,48.22,0.78,74.1,1.14,2.66,-0.25,89,-9,175,8
